word,context,frequency,definition
entrace,"We did have a turkey as well for others, but I tried the Tofurkey and it did not win the competition of Thanksgiving entrace.",1.23e-08,Definition not found
tofurkey,"It was very fun, except my husband was vegan and we had to have a Tofurkey.",2.45e-08,Definition not found
friendsgiving,Maybe this was a friendsgiving.,2.51e-08,Definition not found
thankfulness,Thankfulness is sometimes focused more on a specific event or a person.,2.45e-07,warm friendly feelings of gratitude
rewire,And it does rewire your brain.,2.82e-07,provide with new wiring
asami,"This is from Asami from Tokyo, Japan.",3.09e-07,Definition not found
wordy,"I could say I'm thankful that you came or I'm thankful to you for coming, but that gets really wordy with pressure.",3.63e-07,using or containing too many words
headspace,"Like you said, Lindsay, it's also one of the best ways to have a positive mindset and stay in a positive headspace, but also such a great way to connect to just talk with someone about what each of you are grateful for.",3.8e-07,the volume left at the top of a filled container (bottle or jar or tin) before sealing
vocab,but you do need the right vocab.,3.8e-07,Definition not found
preposition,"Also, what preposition should I use with grateful and thankful?",4.17e-07,a function word that combines with a noun or pronoun or noun phrase to form a prepositional phrase that can have an adverbial or adjectival relation to some other word
interchangeably,"First of all, often grateful and thankful are used interchangeably, but there is a slight difference.",7.94e-07,in an interchangeable manner
googling,"And then I started thinking about some of these examples and googling, I'm seeing people saying like, oh, gratitude is this bigger feeling.",1.02e-06,search the internet (for information) using the Google search engine
momentary,"So it would be, it would feel a little strange for me to say, I'm thankful to my parents for all they've done for me because that does feel more momentary, not quite as big.",1.2e-06,lasting for a markedly brief time
nuance,And this is a real nuance.,1.23e-06,a subtle difference in meaning or opinion or attitude
neuron,The neurons come together and then we start searching for other things we're grateful for.,1.45e-06,a cell that is specialized to conduct nerve impulses
nuanced,This is really nuanced.,1.82e-06,Definition not found
uplift,It really uplifts your heart.,1.86e-06,(geology) a rise of land to a higher elevation (as in the process of mountain building)
interchangeable,They're pretty interchangeable.,1.91e-06,"(mathematics, logic) such that the arguments or roles can be interchanged"
tofu,It was like a turkey made of tofu and it was disgusting.,1.95e-06,cheeselike food made of curdled soybean milk
aubrey,"Hey, Aubrey, how are you today?",2.04e-06,Definition not found
takeaway,"Aubrey, what's our takeaway for today?",2.09e-06,prepared food that is intended to be eaten off of the premises
fleeting,"Because this should be sort of a fleeting, you're thanking someone for something.",2.09e-06,move along rapidly and lightly; skim or dart
neuroscience,"And not to mention, you know, the neuroscience side of things.",2.82e-06,the scientific study of the nervous system
interchange,"And again, don't forget they can be interchanged for sure.",3.09e-06,a junction of highways on different levels that permits traffic to move from one to another without crossing traffic streams
listener,We're so happy to have a seven year listener.,3.31e-06,someone who listens attentively
clarification,I'd love to hear your clarification in a future episode.,3.47e-06,an interpretation that removes obstacles to understanding
superficial,"So a little bit more superficial, right?",3.63e-06,concerned with or comprehending only what is apparent or obvious; not deep or penetrating emotionally or intellectually
whichever,"You're sharing your grateful, whichever you say, but native English speakers will often choose one or the other.",5.01e-06,Definition not found
ooh,"And if you're going to say like, ooh, I'm grateful for this wine.",5.75e-06,express admiration and pleasure by uttering `ooh' or `aah'
surround,I'm also grateful to be surrounded by so many amazing friends.,6.17e-06,the area in which something exists or lives
lindsay,"How are you, Lindsay?",6.46e-06,United States playwright who collaborated with Russel Crouse on several musicals (1889-1931)
intentionally,"You might even be sort of trying to be funny, like intentionally using a word that's for like bigger emotions, right?",6.61e-06,with intention; in an intentional manner
vocabulary,"First of all, this vocabulary is very interesting.",6.61e-06,a listing of the words used in some enterprise
imply,"Yeah, grateful implies a deeper and more long lasting, more sustained sense of thankfulness, of appreciation.",6.76e-06,express or state indirectly
mindset,And it actually shifts your mindset.,7.24e-06,a habitual or characteristic mental attitude that determines how you will interpret and respond to situations
gosh,Oh my gosh.,7.94e-06,Definition not found
gratitude,We got a great question about some of the words we use when expressing gratitude that do have a subtle difference.,8.32e-06,a feeling of thankfulness and appreciation
thankful,I'm not sure about the difference between grateful and thankful.,8.51e-06,feeling or showing gratitude
swap,"But so we're going to first talk about thankful with some examples, keeping in mind what Lindsay said that often we can swap this out for grateful.",8.71e-06,an equal exchange
profound,"So usually thankful refers to a less profound, more of a passing feeling of appreciation.",8.71e-06,showing intellectual penetration or emotional depth
vibe,"It's a very different vibe and dynamic than with your family, of course.",8.71e-06,a distinctive emotional aura experienced instinctively
vegan,"It was very fun, except my husband was vegan and we had to have a Tofurkey.",8.91e-06,a strict vegetarian; someone who eats no animal or dairy products at all
honesty,"She's grateful for his honesty, right?",9.77e-06,the quality of being honest
inappropriate,"And I guess there would be times when it would be inappropriate to use, like in these examples, so you're, so another example, I'm thankful you arrived early.",9.77e-06,not suitable for a particular occasion etc
thanksgiving,"For Thanksgiving, right?",1.1e-05,fourth Thursday in November in the United States; second Monday in October in Canada; commemorates a feast held in 1621 by the Pilgrims and the Wampanoag
subtle,We got a great question about some of the words we use when expressing gratitude that do have a subtle difference.,1.2e-05,difficult to detect or grasp by the mind or analyze
lasting,It's more long lasting.,1.29e-05,persist for a specified period of time
neighbor,I'm thankful for my neighbors.,1.29e-05,a person who lives (or is located) near another
dive,So I'm excited to dive into this today.,1.32e-05,a cheap disreputable nightclub or dance hall
appreciation,"So usually thankful refers to a less profound, more of a passing feeling of appreciation.",1.32e-05,understanding of the nature or meaning or quality or magnitude of something
fascinating,This is so fascinating on so many levels.,1.35e-05,cause to be interested or curious
podcast,I've been listening to your podcast for seven years.,1.41e-05,distribute (multimedia files) over the internet for playback on a mobile device or a personal computer
emotion,This might be an emotion.,1.55e-05,any strong feeling
sustained,"Yeah, grateful implies a deeper and more long lasting, more sustained sense of thankfulness, of appreciation.",1.55e-05,lengthen or extend in duration or space
scenario,The word's too big for that scenario.,1.55e-05,"an outline or synopsis of a play (or, by extension, of a literary work)"
mentally,"Because when I move, I feel better mentally.",1.58e-05,in your mind
correctly,Or maybe I didn't prepare it correctly.,1.62e-05,in an accurate manner
slight,"First of all, often grateful and thankful are used interchangeably, but there is a slight difference.",1.66e-05,a deliberate discourteous act (usually as an expression of anger or disapproval)
disgusting,It was like a turkey made of tofu and it was disgusting.,1.7e-05,fill with distaste
offense,No offense to anyone who loves Tofurkey.,1.82e-05,a lack of politeness; a failure to show regard for others; wounding the feelings or others
tokyo,"This is from Asami from Tokyo, Japan.",1.86e-05,the capital and largest city of Japan; the economic and cultural center of Japan
succeed,"So for example, I'm thankful to my son's teacher for helping him succeed.",1.95e-05,attain success or reach a desired goal
physically,"I'm grateful for physical movement, being able to like, you know, having just being able to physically move.",2e-05,in accord with physical laws
invite,I'm grateful you invited me or I'm grateful that you invited me.,2e-05,a colloquial expression for invitation
dynamic,"It's a very different vibe and dynamic than with your family, of course.",2.04e-05,an efficient incentive
impressed,And so I'm impressed.,2.19e-05,have an emotional or cognitive impact upon
grateful,"Aubrey, what is something that you're grateful for?",2.24e-05,feeling or showing gratitude
connect,A great way to connect with others to express that you're grateful for them or grateful to them,2.4e-05,"connect, fasten, or put together two or more pieces"
arrive,"And I guess there would be times when it would be inappropriate to use, like in these examples, so you're, so another example, I'm thankful you arrived early.",2.4e-05,reach a destination; arrive by movement or progress
lifetime,"And yeah, if you really reflect on, you know, at least many people like think about what your parents have done for you over your lifetime is kind of amazing.",2.45e-05,the period during which something is functional (as between birth and death)
reflect,"And yeah, if you really reflect on, you know, at least many people like think about what your parents have done for you over your lifetime is kind of amazing.",2.45e-05,manifest or bring back
bye,Bye.,2.45e-05,you advance to the next round in a tournament without playing an opponent
confirm,So we can confirm that is good.,2.51e-05,establish or strengthen as with new evidence or facts
lately,"I have met a couple of people who home school lately, so they are teaching their children school during the day at home.",2.57e-05,in the recent past
helpful,"I love my children, but it's really helpful to have some time to miss each other during the day.",2.69e-05,providing assistance or serving a useful function
deeply,"It's like, if you say that to them, they're going to feel that more deeply.",2.75e-05,to a great depth psychologically
muscle,"If we spend time expressing what we're grateful for, we build that muscle in our mind.",2.75e-05,one of the contractile organs of the body
refer,"So usually thankful refers to a less profound, more of a passing feeling of appreciation.",2.82e-05,make reference to
argue,You can't argue with neuroscience.,2.88e-05,present reasons and arguments
impressive,Impressive.,2.95e-05,making a strong or vivid impression
speaker,"You're sharing your grateful, whichever you say, but native English speakers will often choose one or the other.",3.09e-05,someone who expresses in language; someone who talks (especially someone who delivers a public speech or someone especially garrulous)
tone,"But yeah, you can reserve grateful a little more for bigger feelings and know that you're going to get the tone right.",3.09e-05,the quality of a person's voice
broad,"And then gratitude, we'll talk about that in a moment, that that is more broad, more appreciation for life in general for like deeper things.",3.39e-05,slang term for a woman
prepare,Or maybe I didn't prepare it correctly.,3.55e-05,"make ready or suitable or equip in advance for a particular purpose or for some use, event, etc"
turkey,It was like a turkey made of tofu and it was disgusting.,3.63e-05,large gallinaceous bird with fan-shaped tail; widely domesticated for food
button,"So guys, go ahead and hit the follow button right now to let us know that you're grateful for our show, right?",3.63e-05,a round fastener sewn to shirts and coats etc to fit through buttonholes
category,And then thankful to be something would be our next category.,3.72e-05,a collection of things sharing a common attribute
parent,"Any parent who's patient enough to teach their children all day and then have them all weekend and then like, it couldn't be me, but I'm impressed.",3.72e-05,a father or mother; one who begets or one who gives birth to or nurtures and raises a child; a relative who plays the role of guardian
shift,And it actually shifts your mindset.,3.72e-05,an event in which something is displaced without rotation
attitude,"I feel that as I express or if you fill out a gratitude journal, you can feel your mindset shifts to that attitude of gratitude.",3.8e-05,a complex mental state involving beliefs and feelings and values and dispositions to act in certain ways
sentence,"Well, so we can make our sentences a little bit more complex there.",3.8e-05,a string of words satisfying the grammatical rules of a language
affect,They're like grateful for the world and that's affecting how they're acting.,3.89e-05,the conscious subjective aspect of feeling or emotion
reserve,"But yeah, you can reserve grateful a little more for bigger feelings and know that you're going to get the tone right.",3.98e-05,formality and propriety of manner
incredible,It's incredible.,4.27e-05,beyond belief or understanding
strange,"So it would be, it would feel a little strange for me to say, I'm thankful to my parents for all they've done for me because that does feel more momentary, not quite as big.",4.37e-05,being definitely out of the ordinary and unexpected; slightly odd or even a bit weird
fill,"I feel that as I express or if you fill out a gratitude journal, you can feel your mindset shifts to that attitude of gratitude.",4.37e-05,a quantity sufficient to satisfy
teach,"I have met a couple of people who home school lately, so they are teaching their children school during the day at home.",4.68e-05,an English pirate who operated in the Caribbean and off the Atlantic coast of North America (died in 1718)
boston,I had one in Boston too.,4.68e-05,state capital and largest city of Massachusetts; a major center for banking and financial services
express,We got a great question about some of the words we use when expressing gratitude that do have a subtle difference.,4.79e-05,mail that is distributed by a rapid and efficient system
native,"You're sharing your grateful, whichever you say, but native English speakers will often choose one or the other.",4.9e-05,an indigenous person who was born in a particular place
mention,"And not to mention, you know, the neuroscience side of things.",5.37e-05,a remark that calls attention to something or someone
wine,"And if you're going to say like, ooh, I'm grateful for this wine.",5.5e-05,fermented juice (of grapes especially)
lovely,"Well, Aubrey, I'm grateful to you for inviting me to this lovely dinner.",5.5e-05,a very pretty girl who works as a photographer's model
excited,So I'm excited to dive into this today.,5.5e-05,arouse or elicit a feeling
slightly,You need to know which prepositions to use because the meaning will be slightly different.,5.62e-05,to a small degree or extent
birthday,"Or he was thankful to his daughter for the birthday card, but really it's thankful to a person or even an organization.",5.75e-05,an anniversary of the day on which a person was born (or the celebration of it)
patient,"Any parent who's patient enough to teach their children all day and then have them all weekend and then like, it couldn't be me, but I'm impressed.",5.89e-05,a person who requires medical care
prove,"And then like we said, there is neuroscience that proves that you then start searching for things that you're grateful for.",5.89e-05,be shown or be found to be
journal,"I feel that as I express or if you fill out a gratitude journal, you can feel your mindset shifts to that attitude of gratitude.",5.89e-05,a daily written record of (usually personal) experiences and observations
dinner,Next one is thankful for something like at the Thanksgiving dinner table.,6.03e-05,the main meal of the day served in the evening or at midday
healthy,"I'm thankful to be healthy today, mobile today.",6.31e-05,having or indicating good health in body or mind; free from infirmity or disease
benefit,It could be a response to a specific act or a benefit.,6.61e-05,financial assistance in time of need
scale,"And thankfulness, we don't really talk about on such a broad scale, right?",6.76e-05,an ordered reference standard
mobile,"I'm thankful to be healthy today, mobile today.",7.08e-05,a river in southwestern Alabama; flows into Mobile Bay
complex,"Well, so we can make our sentences a little bit more complex there.",7.24e-05,a conceptual whole made up of complicated and related parts
weather,"Yeah, or we're thankful for the nice weather.",7.41e-05,the atmospheric conditions that comprise the state of the atmosphere in terms of temperature and wind and clouds and precipitation
meaning,You need to know which prepositions to use because the meaning will be slightly different.,7.41e-05,the message that is intended or expressed or signified
teacher,"So for example, I'm thankful to my son's teacher for helping him succeed.",7.59e-05,a person whose occupation is teaching
japan,"This is from Asami from Tokyo, Japan.",7.76e-05,"a string of more than 3,000 islands to the east of Asia extending 1,300 miles between the Sea of Japan and the western Pacific Ocean"
overall,Someone's overall mindset.,7.94e-05,(usually plural) work clothing consisting of denim trousers (usually with a bib and shoulder straps)
sit,"So this were maybe sitting around the table and like, oh, you know, let's start saying what we're grateful for.",7.94e-05,be seated
competition,"We did have a turkey as well for others, but I tried the Tofurkey and it did not win the competition of Thanksgiving entrace.",8.13e-05,a business relation in which two parties compete to gain customers
choose,"You're sharing your grateful, whichever you say, but native English speakers will often choose one or the other.",8.13e-05,"pick out, select, or choose from a number of alternatives"
organization,"Or he was thankful to his daughter for the birthday card, but really it's thankful to a person or even an organization.",8.32e-05,a group of people who work together
awesome,That is awesome.,8.32e-05,inspiring awe or admiration or wonder; ; ; ; - Melville
imagine,"So these are not hard and fast rules, but these are nice categories where we can start to imagine examples.",8.32e-05,form a mental image of something that is not present or that is not the case
weekend,"Any parent who's patient enough to teach their children all day and then have them all weekend and then like, it couldn't be me, but I'm impressed.",8.51e-05,a time period usually extending from Friday night through Sunday; more loosely defined as any period of successive days including one and only one Sunday
physical,"I'm grateful for physical movement, being able to like, you know, having just being able to physically move.",8.71e-05,involving the body as distinguished from the mind or spirit
rule,"So these are not hard and fast rules, but these are nice categories where we can start to imagine examples.",8.71e-05,a principle or condition that customarily governs behavior
brain,And it does rewire your brain.,8.71e-05,that part of the central nervous system that includes all the higher nervous centers; enclosed within the skull; continuous with the spinal cord
generally,"Often we'll use grateful instead because those might be bigger feelings, but you could, you could say thankful to it's just something that has been done, either sort of generally by a country or something like that or by a person.",8.91e-05,usually; as a rule
definitely,"Yes, definitely.",9.12e-05,without question and beyond doubt
wow,Wow.,9.12e-05,a joke that seems extremely funny
search,The neurons come together and then we start searching for other things we're grateful for.,9.12e-05,the activity of looking thoroughly in order to find something or someone
episode,I'd love to hear your clarification in a future episode.,9.33e-05,a happening that is distinctive in a series of related events
statement,"But yeah, we kind of want our words to match our emotions or how profound our statements are, right?",9.33e-05,a message that is stated or declared; a communication (oral or written) setting forth particulars or facts etc
agree,"And I'm like, I agree that this is grateful in general is used for bigger, more sustained appreciation, deeper, bigger feelings, deeper, bigger and thankful.",9.33e-05,be in accord; be in agreement
movement,"I'm grateful for physical movement, being able to like, you know, having just being able to physically move.",9.33e-05,a change of position that does not entail a change of location
spend,"If we spend time expressing what we're grateful for, we build that muscle in our mind.",9.33e-05,pass time in a specific way
absolutely,Absolutely.,9.55e-05,completely and without qualification; used informally as intensifiers
positive,"Like you said, Lindsay, it's also one of the best ways to have a positive mindset and stay in a positive headspace, but also such a great way to connect to just talk with someone about what each of you are grateful for.",9.77e-05,"the primary form of an adjective or adverb; denotes a quality without qualification, comparison, or relation to increase or diminution"
